num_lectures,price,days_since_published,content_duration
27,40,1555,1.0
79,200,2100,18.0
47,35,2074,3.5
16,200,1985,1.5
91,50,2200,7.0
43,100,2198,3.0
12,35,1592,0.7333333333333333
43,80,1752,5.5
77,20,2306,2.5
15,20,2171,3.0
11,20,2601,2.0
13,20,2269,1.5
5,20,2384,1.0
5,20,1735,1.0
43,100,2418,5.5
18,0,2184,5.0
36,50,2002,7.0
19,55,1597,2.0
18,55,2405,1.5
6,40,1769,0.5833333333333334
131,150,2039,19.5
5,50,1906,1.0
45,195,1876,4.0
5,20,2864,1.0
15,95,2012,1.0
34,125,1866,2.0
22,0,1679,2.0
80,200,2102,6.5
21,100,1874,5.0
44,20,2255,2.5
20,20,1789,2.0
5,0,2574,0.5166666666666666
29,75,2304,3.0
8,40,1823,1.0
38,0,1950,1.0
14,20,2315,0.65
154,195,2682,26.0
18,25,1878,5.0
14,20,1878,1.5
37,20,2093,1.5
68,40,1548,8.5
16,30,2704,2.0
13,100,1551,3.5
42,30,2851,4.0
90,50,2354,16.0
12,20,2105,1.0
24,50,2057,0.7
25,145,1766,3.5
101,50,3417,8.0
56,95,2402,6.0
94,20,2338,8.0
24,20,2491,2.0
18,195,1964,1.0
32,20,3029,2.0
13,20,2722,1.0
44,20,2235,5.5
23,50,2202,1.5
64,95,2384,3.5
11,20,1928,0.6
19,20,2251,1.0
46,40,2900,12.0
45,35,1691,3.0
60,100,2284,6.0
27,40,1837,2.0
179,35,2062,17.5
13,20,1633,3.0
27,195,2804,4.0
42,35,2920,3.5
39,50,2711,5.5
29,200,2295,2.0
31,50,2702,3.5
57,50,1988,7.0
27,50,2249,2.5
7,20,2117,0.6833333333333333
6,0,1618,1.0
12,20,2031,2.0
25,200,1718,1.0
28,20,1940,1.0
12,20,2572,1.5
19,30,2516,1.0
16,35,1998,1.0
16,0,2012,1.5
17,50,2692,3.0
6,60,1592,0.7
36,20,1614,4.5
30,120,2206,1.5
31,100,2198,1.5
50,50,2871,3.0
12,0,1611,1.5
11,20,2026,0.5
8,20,2360,1.0
7,25,2033,0.6166666666666667
15,20,1683,1.0
11,20,1652,1.0
27,50,2702,8.5
32,195,2044,2.0
41,30,3355,2.5
15,20,1571,1.0
20,200,1820,1.5
28,20,2850,1.5
28,60,2047,5.5
12,100,1557,2.5
11,40,2512,2.5
6,60,1606,0.6666666666666666
39,200,1647,2.5
17,0,2037,1.5
22,25,2929,3.0
157,100,1789,12.5
26,95,2150,3.5
9,20,1590,1.0
40,50,2032,4.5
8,0,1576,0.65
6,80,2038,0.7
